id,real_language,fake_language,real_unique_languages,fake_unique_languages,real_lang_counts,fake_lang_counts
64,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 19},{'en': 21}
65,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 8},{'en': 8}
66,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'no', 'en', 'en', 'en', 'en', 'nl', 'da', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'en', 'en', 'pt', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'nl', 'tl', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'no', 'de', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en']",['en'],"['et', 'de', 'ca', 'ro', 'no', 'nl', 'da', 'pt', 'en', 'tl', 'fr']",{'en': 10},"{'en': 44, 'ca': 2, 'no': 2, 'nl': 2, 'da': 1, 'et': 1, 'pt': 1, 'fr': 2, 'tl': 1, 'de': 1, 'ro': 1}"
67,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 24},{'en': 26}
68,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'et', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'en', 'en', 'pt', 'en', 'en', 'en', 'en', 'en', 'nl', 'tl', 'en', 'en', 'en', 'en', 'ca', 'en', 'en', 'en', 'en', 'it', 'en', 'ro', 'en', 'en', 'en', 'en', 'ca', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],"['it', 'et', 'ca', 'ro', 'nl', 'pt', 'en', 'tl']",{'en': 13},"{'en': 46, 'et': 2, 'ca': 3, 'pt': 1, 'nl': 1, 'tl': 1, 'it': 1, 'ro': 1}"
69,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 14},{'en': 13}
70,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 11},{'en': 12}
71,"['en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'fr', 'fr', 'en', 'en', 'en', 'nl', 'da', 'en', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'et', 'en', 'pt', 'en', 'en', 'en', 'en', 'en', 'en', 'nl', 'tl', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'it', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en']",['en'],"['it', 'et', 'ca', 'ro', 'nl', 'da', 'pt', 'en', 'tl', 'fr']",{'en': 7},"{'en': 41, 'fr': 3, 'nl': 2, 'da': 1, 'ca': 1, 'et': 2, 'pt': 1, 'tl': 1, 'it': 1, 'ro': 1}"
72,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'de', 'en', 'de', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'so', 'it', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'et', 'en', 'pt', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en', 'en', 'it', 'en', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en', 'en']","['fr', 'de', 'en']","['it', 'et', 'ca', 'ro', 'pt', 'so', 'en', 'fr']","{'en': 21, 'fr': 1, 'de': 2}","{'en': 39, 'so': 1, 'it': 2, 'ca': 1, 'et': 2, 'pt': 1, 'fr': 2, 'ro': 1}"
73,"['en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'et', 'en', 'en', 'nl', 'da', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'en', 'en', 'pt', 'en', 'en', 'en', 'fr', 'en', 'en', 'nl', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en']","['fr', 'en']","['et', 'ca', 'ro', 'nl', 'da', 'pt', 'en', 'fr']","{'en': 13, 'fr': 1}","{'en': 43, 'et': 2, 'nl': 2, 'da': 1, 'ca': 1, 'pt': 1, 'fr': 2, 'ro': 1}"
74,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'af', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],"['af', 'en']",{'en': 12},"{'en': 13, 'af': 1}"
75,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 14},{'en': 13}
76,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'af', 'ro', 'da', 'en', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'et', 'en', 'pt', 'en', 'en', 'en', 'en', 'en', 'en', 'nl', 'tl', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en', 'en', 'de', 'ro', 'en', 'en', 'en', 'en', 'ca', 'en', 'en', 'fr', 'en', 'en', 'en', 'en']",['en'],"['et', 'de', 'ca', 'ro', 'nl', 'da', 'tl', 'pt', 'en', 'af', 'fr']",{'en': 11},"{'en': 44, 'af': 1, 'ro': 2, 'da': 1, 'ca': 2, 'et': 2, 'pt': 1, 'nl': 1, 'tl': 1, 'fr': 2, 'de': 1}"
77,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 8},{'en': 12}
78,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 8},{'en': 8}
79,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'no', 'ro', 'da', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'et', 'en', 'pt', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'nl', 'tl', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en', 'it', 'ro', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en']","['ca', 'en']","['it', 'et', 'ca', 'ro', 'no', 'nl', 'da', 'pt', 'en', 'tl', 'fr']","{'en': 19, 'ca': 1}","{'en': 44, 'no': 1, 'ro': 3, 'da': 1, 'ca': 1, 'et': 2, 'pt': 1, 'nl': 1, 'tl': 1, 'fr': 2, 'it': 1}"
80,"['en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'ca', 'en', 'nl', 'da', 'en', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'et', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'it', 'en', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],"['it', 'et', 'ca', 'ro', 'nl', 'da', 'en']",{'en': 7},"{'en': 40, 'ca': 2, 'nl': 1, 'da': 1, 'et': 2, 'it': 1, 'ro': 1}"
81,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 9},{'en': 9}
82,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'de', 'de', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'de', 'de', 'en']","['de', 'en']","['de', 'en']","{'en': 13, 'de': 2}","{'en': 13, 'de': 2}"
83,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'no', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'so', 'en', 'da', 'en', 'en', 'en', 'en', 'es', 'et', 'en', 'et', 'ca', 'pt', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'da', 'tl', 'en', 'en', 'fi', 'en', 'ca', 'en', 'en', 'en', 'nl', 'id', 'ro', 'en', 'en', 'ro', 'ro', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'sv', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'es', 'nl', 'fr', 'en', 'en', 'en', 'de', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'cy', 'it', 'en', 'en', 'en', 'en', 'en', 'it', 'ca', 'en', 'it', 'so', 'en', 'ca', 'en', 'fr', 'es', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'ca', 'en', 'fr', 'en', 'en', 'ro', 'en', 'et', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'pl', 'bg', 'en', 'en', 'en', 'ro', 'en', 'en', 'it', 'en', 'en', 'en', 'en', 'nl', 'id', 'cs', 'id', 'en', 'en', 'en', 'ca', 'en', 'en', 'en', 'en', 'en', 'es', 'fr', 'en', 'en', 'en', 'nl', 'fr', 'fr', 'en', 'fr', 'en', 'en', 'de', 'en', 'en', 'sv', 'en', 'cy', 'en', 'en', 'sl', 'en', 'en', 'fr', 'en', 'en', 'en', 'en', 'fr', 'en', 'et', 'en', 'ca', 'en', 'en', 'en', 'ca', 'en', 'en', 'pt', 'da', 'en', 'fr', 'en', 'ca', 'en', 'it', 'ca', 'en', 'en', 'en', 'fr', 'fr', 'ca', 'en', 'en', 'sv', 'es', 'en', 'bg', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'vi', 'en', 'hr', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'ru', 'en', 'no', 'et', 'ca', 'en', 'en', 'ca', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'ro', 'ro', 'en', 'en', 'fr', 'lv', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'lt', 'en', 'en', 'en', 'en', 'en', 'en', 'nl', 'en', 'en', 'en', 'en', 'en', 'es', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'it', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'it', 'es', 'da', 'ca', 'en', 'en', 'en', 'en', 'en', 'it', 'it', 'en', 'en', 'ro']",['en'],"['ca', 'ro', 'nl', 'vi', 'hr', 'cs', 'lv', 'no', 'lt', 'ru', 'so', 'cy', 'sv', 'fr', 'it', 'sl', 'es', 'pl', 'da', 'fi', 'en', 'bg', 'tl', 'et', 'de', 'pt', 'id']",{'en': 12},"{'en': 226, 'no': 2, 'so': 2, 'da': 4, 'es': 7, 'et': 5, 'ca': 16, 'pt': 2, 'tl': 1, 'fi': 1, 'nl': 5, 'id': 3, 'ro': 10, 'sv': 3, 'fr': 18, 'de': 2, 'cy': 2, 'it': 9, 'pl': 1, 'bg': 2, 'cs': 1, 'sl': 1, 'vi': 1, 'hr': 1, 'ru': 1, 'lv': 1, 'lt': 1}"
84,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'et', 'da', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'en', 'en', 'pt', 'en', 'en', 'en', 'fr', 'en', 'en', 'nl', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'no', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en']",['en'],"['et', 'ca', 'ro', 'nl', 'no', 'da', 'pt', 'en', 'fr']",{'en': 8},"{'en': 44, 'et': 2, 'da': 1, 'ca': 1, 'pt': 1, 'fr': 2, 'nl': 1, 'no': 1, 'ro': 1}"
85,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 8},{'en': 7}
86,"['en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'fr', 'en', 'en', 'en', 'en', 'en', 'en', 'ro', 'da', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'et', 'en', 'pt', 'en', 'en', 'fr', 'fr', 'en', 'en', 'nl', 'tl', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'ro', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en']",['en'],"['et', 'ca', 'ro', 'nl', 'da', 'pt', 'en', 'tl', 'fr']",{'en': 7},"{'en': 46, 'fr': 5, 'ro': 3, 'da': 1, 'ca': 1, 'et': 2, 'pt': 1, 'nl': 1, 'tl': 1}"
87,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'ro', 'da', 'en', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'et', 'en', 'pt', 'en', 'en', 'en', 'en', 'en', 'en', 'tl', 'en', 'en', 'en', 'it', 'ca', 'en', 'en', 'en', 'en', 'de', 'en', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en']",['en'],"['it', 'et', 'de', 'ca', 'ro', 'da', 'pt', 'en', 'tl', 'fr']",{'en': 10},"{'en': 37, 'ro': 2, 'da': 1, 'ca': 2, 'et': 2, 'pt': 1, 'tl': 1, 'it': 1, 'de': 1, 'fr': 1}"
88,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'nl', 'es', 'en', 'bg', 'en', 'en', 'en', 'en', 'hu', 'en', 'fr', 'en', 'en', 'en', 'no', 'en', 'en', 'en', 'et', 'da', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'en', 'en', 'en', 'en', 'pt', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'nl', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en', 'no', 'it', 'en', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en']",['en'],"['it', 'et', 'es', 'ca', 'ro', 'nl', 'no', 'da', 'pt', 'hu', 'en', 'bg', 'fr']",{'en': 8},"{'en': 50, 'nl': 2, 'es': 1, 'bg': 1, 'hu': 1, 'fr': 4, 'no': 2, 'et': 1, 'da': 1, 'ca': 1, 'pt': 1, 'it': 1, 'ro': 1}"
89,"['en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'ca', 'en', 'en', 'et', 'da', 'en', 'et', 'en', 'en', 'en', 'ca', 'et', 'en', 'et', 'en', 'pt', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'it', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en', 'en']",['en'],"['it', 'et', 'ca', 'ro', 'da', 'pt', 'en', 'fr']",{'en': 5},"{'en': 39, 'ca': 2, 'et': 4, 'da': 1, 'pt': 1, 'fr': 2, 'it': 1, 'ro': 1}"
90,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 17},{'en': 16}
91,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 14},{'en': 16}
92,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'fr', 'fr', 'en', 'ca', 'en', 'en', 'en', 'da', 'en', 'en', 'en', 'en', 'en', 'en', 'ca', 'et', 'en', 'en', 'en', 'pt', 'en', 'en', 'en', 'fr', 'en', 'en', 'nl', 'tl', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'no', 'ro', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'fr', 'en', 'en', 'en']",['en'],"['et', 'ca', 'ro', 'nl', 'no', 'da', 'pt', 'en', 'tl', 'fr']",{'en': 8},"{'en': 40, 'fr': 4, 'ca': 2, 'da': 1, 'et': 1, 'pt': 1, 'nl': 1, 'tl': 1, 'no': 1, 'ro': 1}"
93,"['en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 6},{'en': 6}
94,"['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']","['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']",['en'],['en'],{'en': 16},{'en': 17}
